,avg._session_duration,bounce_rate,content_unique?,design_unique?,listing_type,net_profit,page_views_0,page_views_1,page_views_2,page_views_3,page_views_4,page_views_5,page_views_6,page_views_7,page_views_8,page_views_9,page_visitors_0,page_visitors_1,page_visitors_2,page_visitors_3,page_visitors_4,page_visitors_5,page_visitors_6,page_visitors_7,page_visitors_8,page_visitors_9,pages_/_session,platform,site_age,site_type,starting_price,template_unique?
0,"
  00:06:14
","
  34.82%
",,,,"
  $5,479 p/mo
",971,"6,549","12,936","10,896","1,873","4,650","20,528","19,194",286,"1,351",130,283,699,"2,448",436,348,"15,615","15,227",39,146,"
  7.31
","
  —
","
  1 year
","
  Services
","
    $620 ",
0,"
  00:01:12
","
  68.25%
",,,,"
  $410 p/mo
","10,740","12,115","11,498","11,912","13,025","28,472","30,023","40,330","47,465","61,553","4,997","6,034","5,257","5,928","5,259","11,237","12,465","16,120","19,260","25,356","
  1.81
","
  —
","
  3 years
","
  Content
","
    $1,100 ",
0,,,,,,"
  $26,208 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $2,700 ",
0,"
  00:00:31
","
  68.94%
",,,,"
  $17,033 p/mo
","20,118","27,940","22,156","14,856","9,654","10,342","10,269","52,875","59,361","49,274","10,706","16,038","12,571","8,433","5,194","5,974","5,864","28,009","34,855","34,011","
  1.41
","
  Google ​​Search ​​Appliance
","
  11 years
","
  —
","
    $1 ",
0,,,,,,"
  $15,000 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  PHP
","
  18 years
","
  —
","
    $100,000 ",
0,"
  00:02:49
","
  63.62%
",,,,"
  $8,000 p/mo
","18,566","23,546","27,769","25,108","27,697","32,984","33,395","35,793","25,561","5,519","4,259","4,155","6,190","4,559","5,106","6,591","5,654","6,861","4,596","3,095","
  2.96
","
  —
","
  4 years
","
  —
","
    $1 ",
0,,,"
  No
","
  Yes
","
  Starter Site
","
  $5,710 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 months
","
  Services
","
    $3,050 ","
  No
"
0,"
  00:06:09
","
  20.51%
",,,,"
  $5,516 p/mo
","11,056,134","13,500,851","12,948,298","13,330,320","14,899,857","20,383,406","22,871,372","25,793,178","18,851,653","14,733,440","318,791","369,586","360,346","374,567","426,561","509,796","620,581","694,428","604,271","483,008","
  8.67
","
  —
","
  2 years
","
  Content
","
    $190,000 ",
0,"
  00:00:42
","
  85.67%
",,,,"
  $5,358 p/mo
","329,846","730,280","456,377","469,430","366,315","337,694","339,322","373,892","1,125,913","1,278,421","236,532","502,327","295,488","288,079","230,606","218,769","239,055","276,798","898,721","827,965","
  1.24
","
  Word​​Press
","
  3 years
","
  Content
","
    $300,000 ",
0,"
  00:01:20
","
  62.07%
",,,,"
  $5,000 p/mo
","17,678","19,248","23,864","27,026","46,076","28,144","50,441","22,664","25,626","25,687","4,684","4,802","6,627","6,308","12,585","7,067","26,494","5,799","6,391","6,327","
  3.22
","
  —
","
  4 years
","
  eCommerce
","
    $10,000 ",
0,"
  00:02:02
","
  51.23%
",,,,"
  $4,500 p/mo
","3,115","4,535","5,515","6,591","6,248","6,264","9,725","8,985","6,047","14,520",799,968,"1,176","1,402","1,365","1,180","1,802","2,116","1,532","3,647","
  3.74
","
  —
","
  2 years
","
  eCommerce
","
    $1 ",
0,"
  00:01:12
","
  29.13%
","
  Yes
","
  Yes
","
  Starter Site
","
  $4,410 p/mo
","46,736","17,260",0,0,0,0,0,0,0,0,"11,170","3,351",0,0,0,0,0,0,0,0,"
  2.47
","
  —
","
  3 months
","
  eCommerce
","
    $4,800 ","
  No
"
0,"
  00:01:23
","
  44.47%
",,,,"
  $4,276 p/mo
","35,853","136,416","77,436","115,434","201,680","78,756","38,847","11,710","58,796","3,497","15,387","16,030","10,388","15,750","32,670","12,686","6,133","2,254","25,643","1,457","
  4.79
","
  —
","
  1 year
","
  eCommerce
","
    $75,000 ",
0,,,,,,"
  $4,198 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  Services
","
    $3,000 ",
0,"
  00:02:56
","
  55.48%
",,,,"
  $4,062 p/mo
","11,802","17,832","19,579","20,937","15,733","16,549","19,956","23,542","21,455","23,926","2,800","4,073","4,711","6,124","3,471","3,833","5,703","6,983","6,465","6,673","
  3.11
","
  —
","
  2 years
","
  eCommerce
","
    $575 ",
0,"
  00:00:40
","
  79.10%
",,,,"
  $4,057 p/mo
","55,139","78,361","106,035","131,878","135,224","413,208","1,109,264","1,894,452","461,031","401,733","35,222","45,348","71,437","64,463","67,176","200,431","557,530","896,546","224,526","200,902","
  1.47
","
  Wordpress 4.9
","
  7 years
","
  Content
","
    $150,000 ",
0,,,,,,"
  $3,726 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $29,000 ",
0,"
  00:00:57
","
  88.01%
",,,,"
  $3,580 p/mo
","23,097","16,816","11,624","9,140","8,856","10,049","9,733","13,837","12,613","9,887","15,933","12,142","7,938","5,937","5,754","6,765","6,504","8,906","8,075","6,045","
  1.23
","
  Word​​Press
","
  4 years
","
  Services
","
    $50,000 ",
0,"
  00:01:54
","
  50.60%
",,,,"
  $3,040 p/mo
","12,092","12,258","10,599","8,499","9,013","6,412","8,141","10,051","15,119","27,656","3,123","3,539","3,139","2,084","2,213","1,490","1,911","2,676","2,709","3,133","
  2.95
","
  —
","
  8 years
","
  eCommerce
","
    $40,000 ",
0,"
  00:00:31
","
  75.46%
",,,,"
  $3,035 p/mo
",3,110,19,449,"113,829",0,0,0,0,0,3,28,8,158,"19,017",0,0,0,0,0,"
  1.87
","
  —
","
  7 months
","
  eCommerce
","
    $6 ",
0,"
  00:01:35
","
  1.46%
",,,,"
  $2,957 p/mo
","12,734","10,096","12,405","13,998","17,098","7,085","7,755","8,400","7,338","8,103","2,389","2,197","2,343","2,517","3,085","3,052","3,362","3,257","3,359","3,176","
  4.21
","
  —
","
  6 years
","
  eCommerce
","
    $20,000 ",
0,"
  00:00:46
","
  75.80%
",,,,"
  $2,954 p/mo
","4,409","5,347","6,592","7,096","6,144","7,316","5,313","4,275","2,462","2,529","2,485","2,602","3,175","3,193","3,145","4,141","2,831","2,242","1,336","1,415","
  1.76
","
  —
","
  2 years
","
  eCommerce
","
    $1 ",
0,"
  00:01:14
","
  72.20%
",,,,"
  $2,877 p/mo
","3,166","20,319","44,426","78,243","89,540","34,254","34,371","39,836","61,840","96,934","1,024","6,996","15,892","32,616","36,014","14,081","16,708","17,533","29,266","41,219","
  2.30
","
  —
","
  11 months
","
  eCommerce
","
    $2,000 ",
0,"
  00:01:01
","
  70.61%
",,,,"
  $2,851 p/mo
","42,461","51,082","38,998","55,306","60,575","59,081","46,981","43,113","44,745","52,225","14,839","17,904","12,267","18,693","19,750","19,955","15,929","14,252","15,006","17,288","
  1.98
","
  —
","
  2 years
","
  eCommerce
","
    $17 ",
0,,,"
  Yes
","
  Yes
","
  Starter Site
","
  $2,500 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  3 months
","
  Services
","
    $1 ","
  No
"
0,,,,,,"
  $2,470 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Word​​Press
","
  2 years
","
  Transactional / Marketplace
","
    $500 ",
0,"
  00:00:47
","
  82.67%
",,,,"
  $2,384 p/mo
","3,213","4,572","6,286","8,101","23,475","14,470","12,325","16,339","24,573","32,445","1,863","2,440","3,846","5,152","16,563","9,552","7,376","10,439","16,593","22,133","
  1.49
","
  —
","
  2 years
","
  eCommerce
","
    $1,150 ",
0,"
  00:00:20
","
  23.04%
",,,,"
  $2,322 p/mo
","21,527",0,0,0,0,0,0,0,0,0,"8,668",0,0,0,0,0,0,0,0,0,"
  0.68
","
  —
","
  6 months
","
  eCommerce
","
    $3,500 ",
0,"
  00:00:58
","
  61.43%
",,,,"
  $2,252 p/mo
",19,31,119,319,"896,694","1,276,142","1,139,938","1,121,120","1,179,512","1,228,066",4,14,50,105,"276,904","390,034","340,526","338,276","313,113","338,723","
  1.61
","
  Wordpress 4.8
","
  1 year
","
  Content
","
    $5,000 ",
0,"
  00:03:32
","
  0.00%
",,,,"
  $2,200 p/mo
","1,606",0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,"
  3.30
","
  —
","
  1 year
","
  —
","
    $1 ",
0,"
  00:02:22
","
  59.84%
",,,,"
  $2,013 p/mo
","23,891","22,810","18,510","19,351","20,130","24,792","20,233","24,256","32,684","37,015","6,678","6,126","5,165","4,899","5,018","6,233","5,411","6,616","8,423","9,451","
  2.93
","
  —
","
  3 years
","
  eCommerce
","
    $29,500 ",
